,created_at,id,full_text,gpe,latitude,longitude
513,Wed Jun 22 19:13:55 +0000 2022,1539688150246850561,every house you went to there was eight or nine bodies of people killed in the earthquake in  district of  pr _locincl_,Barmal,32.71433,69.275053
514,Wed Jun 22 19:30:47 +0000 2022,1539692394890907652,خاکسپاری دسته جمعی جان باختگان زلزله مرگبار  در شهرستان  افغانستان_تسلیت   _urlincl_ _locincl_,گیان ولایت پکتیکا,32.975159,69.399302
515,Wed Jun 22 21:12:14 +0000 2022,1539717926042980355,خاکسپاری دسته جمعی جان باختگان زلزله مرگبار  در شهرستان  افغانستان_تسلیت   _urlincl_ _locincl_,گیان ولایت پکتیکا,32.975159,69.399302
516,Wed Jun 22 22:45:52 +0000 2022,1539741487390371841,it’s  ambulances in   are parked outside on the main street waiting to head to  to transfer the inju _locincl_,Gardez,33.5877097,69.2685645
517,Wed Jun 22 23:35:59 +0000 2022,1539754101130395648,at least 255 people have been killed and 500 others injured in an earthquake in    and  distri _locincl_,Ziruk,33.155823,69.326833
518,Wed Jun 22 20:30:25 +0000 2022,1539707401175064576,breaking at least 1000 people were killed and 1500 others where injured in an earthquake only in  and  dist _locincl_,Barmal,32.71433,69.275053
519,Wed Jun 22 17:30:46 +0000 2022,1539662191783456769,خاکسپاری دسته جمعی جان باختگان زلزله مرگبار  در شهرستان  افغانستان_تسلیت   _urlincl_ _locincl_,گیان ولایت پکتیکا,32.975159,69.399302
520,Wed Jun 22 16:33:31 +0000 2022,1539647784113934336,update 17 members of a family were killed in last nights earthquake in  in  district of the pr _locincl_,Barmal,32.71433,69.275053
521,Thu Jun 23 03:55:25 +0000 2022,1539819388848803842,it’s  ambulances in   are parked outside on the main street waiting to head to  to transfer the inju _locincl_,Gardez,33.5877097,69.2685645
522,Wed Jun 22 22:13:48 +0000 2022,1539733420368187393,ministry of defence has deployed six helicopters to move victims of the earthquake to  and  we need ten _locincl_,Gardez,33.5877097,69.2685645
523,Thu Jun 23 01:23:23 +0000 2022,1539781127078121472,خاکسپاری دسته جمعی جان باختگان زلزله مرگبار  در شهرستان  افغانستان_تسلیت   _urlincl_ _locincl_,گیان ولایت پکتیکا,32.975159,69.399302
524,Thu Jun 23 06:30:59 +0000 2022,1539858538004111362,this is  area of   as per sources on the ground 150 civilians lost their lives and aro _locincl_,Bermal district,32.71433,69.275053
525,Thu Jun 23 06:34:58 +0000 2022,1539859540220514305,search and rescue missions continuing after the earthquake in  and  districts of     _urlincl_ _locincl_,Barmal,32.71433,69.275053
526,Thu Jun 23 06:34:58 +0000 2022,1539859540220514305,search and rescue missions continuing after the earthquake in  and  districts of     _urlincl_ _locincl_,Barmal,32.71433,69.275053
527,Thu Jun 23 06:46:33 +0000 2022,1539862456243290112,this is a small village of  area of   150 civilians have lost their lives and appro _locincl_,Bermal district,32.71433,69.275053
528,Thu Jun 23 06:44:05 +0000 2022,1539861833594445825,43 magnitude earthquake hits afghanistans  relief work underway   _urlincl_ _locincl_,Fayzabad,37.216341,70.613481
529,Thu Jun 23 06:44:05 +0000 2022,1539861833594445825,43 magnitude earthquake hits afghanistans  relief work underway   _urlincl_ _locincl_,Fayzabad,37.216341,70.613481
530,Thu Jun 23 07:12:04 +0000 2022,1539868879190511617,43 magnitude earthquake hits s  a day after 1000 killed in quake   taliban news _urlincl_ _locincl_,Fayzabad,37.216341,70.613481
531,Thu Jun 23 07:12:04 +0000 2022,1539868879190511617,43 magnitude earthquake hits s  a day after 1000 killed in quake   taliban news _urlincl_ _locincl_,Fayzabad,37.216341,70.613481
532,Thu Jun 23 07:43:19 +0000 2022,1539876742285901825,43 magnitude earthquake hits ’s  relief work underway   _urlincl_ _locincl_,Fayzabad,37.216341,70.613481
533,Thu Jun 23 11:30:52 +0000 2022,1539934005390635009,search and rescue missions continuing after the earthquake in  and  districts of   http _locincl_,Barmal,32.71433,69.275053
534,Thu Jun 23 11:30:52 +0000 2022,1539934005390635009,search and rescue missions continuing after the earthquake in  and  districts of   http _locincl_,Barmal,32.71433,69.275053
535,Wed Jun 22 17:03:15 +0000 2022,1539655265942851585,search and rescue missions continuing after the earthquake in  and  districts of   http _locincl_,Barmal,32.71433,69.275053
536,Wed Jun 22 17:03:15 +0000 2022,1539655265942851585,search and rescue missions continuing after the earthquake in  and  districts of   http _locincl_,Barmal,32.71433,69.275053
537,Wed Jun 22 17:18:15 +0000 2022,1539659041135554560,search and rescue missions continuing after the earthquake in  and  districts of     _urlincl_ _locincl_,Barmal,32.71433,69.275053
538,Wed Jun 22 17:18:15 +0000 2022,1539659041135554560,search and rescue missions continuing after the earthquake in  and  districts of     _urlincl_ _locincl_,Barmal,32.71433,69.275053
539,Wed Jun 22 17:03:31 +0000 2022,1539655332825182208,search and rescue missions continuing after the earthquake in  and  districts of   http _locincl_,Barmal,32.71433,69.275053
540,Wed Jun 22 17:03:31 +0000 2022,1539655332825182208,search and rescue missions continuing after the earthquake in  and  districts of   http _locincl_,Barmal,32.71433,69.275053
